city_id,ssp,epoch,n_seeds,delta_dmg_mean,delta_dmg_std,delta_dmg_min,delta_dmg_max,ci95_lo,ci95_hi
0,SSP2-4.5,2020,10,0.0,0.0,0.0,0.0,0.0,0.0
0,SSP2-4.5,2050,10,0.00272,0.00208,-3e-05,0.00568,0.00151,0.00395
0,SSP2-4.5,2100,10,0.00665,0.00255,0.00296,0.01152,0.0052,0.0082
0,SSP5-8.5,2020,10,-8e-05,0.00094,-0.00153,0.00158,-0.00066,0.00045
0,SSP5-8.5,2050,10,0.00591,0.00237,0.00196,0.00892,0.00442,0.00728
0,SSP5-8.5,2100,10,0.02146,0.00459,0.01365,0.02622,0.01856,0.024
0,Control-NoCC,2020,10,-0.00019,0.00106,-0.00165,0.0012,-0.00078,0.00047
0,Control-NoCC,2050,10,0.00041,0.00141,-0.0006,0.00398,-0.00024,0.00134
0,Control-NoCC,2100,10,0.00131,0.00139,-0.00059,0.00355,0.0005,0.00213
1,SSP2-4.5,2020,10,0.0,0.0,0.0,0.0,0.0,0.0
1,SSP2-4.5,2050,10,0.00103,0.00147,-0.00112,0.00297,0.00021,0.00185
1,SSP2-4.5,2100,10,0.00211,0.001,0.0002,0.00352,0.00155,0.00265
1,SSP5-8.5,2020,10,-1e-05,0.00129,-0.00161,0.00223,-0.00075,0.00076
1,SSP5-8.5,2050,10,0.00235,0.00112,0.00032,0.0041,0.00166,0.00297
1,SSP5-8.5,2100,10,0.00549,0.00213,0.00256,0.00936,0.00431,0.00676
1,Control-NoCC,2020,10,0.00033,0.00089,-0.0007,0.00216,-0.00016,0.00088
1,Control-NoCC,2050,10,-0.00012,0.00155,-0.0027,0.0019,-0.00101,0.00075
1,Control-NoCC,2100,10,-2e-05,0.00121,-0.00137,0.00258,-0.00067,0.00075
2,SSP2-4.5,2020,10,0.0,0.0,0.0,0.0,0.0,0.0
2,SSP2-4.5,2050,10,-8e-05,0.00174,-0.0024,0.0024,-0.0011,0.00092
2,SSP2-4.5,2100,10,0.0007,0.00111,-0.001,0.00233,3e-05,0.00132
2,SSP5-8.5,2020,10,-0.00057,0.00105,-0.00242,0.0009,-0.00127,-4e-05
2,SSP5-8.5,2050,10,0.00077,0.0009,-0.0004,0.00222,0.00025,0.00129
2,SSP5-8.5,2100,10,0.00249,0.00165,-0.00032,0.00429,0.00148,0.00344
2,Control-NoCC,2020,10,-0.0005,0.00081,-0.00149,0.00141,-0.00093,-1e-05
2,Control-NoCC,2050,10,-0.00013,0.00131,-0.00196,0.0021,-0.00086,0.00065
2,Control-NoCC,2100,10,-0.00036,0.00134,-0.00197,0.00226,-0.00111,0.00049
3,SSP2-4.5,2020,10,0.0,0.0,0.0,0.0,0.0,0.0
3,SSP2-4.5,2050,10,0.00033,0.00147,-0.00202,0.00239,-0.00062,0.0012
3,SSP2-4.5,2100,10,0.00041,0.00118,-0.0021,0.0025,-0.00029,0.00108
3,SSP5-8.5,2020,10,-5e-05,0.0012,-0.00185,0.00153,-0.00073,0.00067
3,SSP5-8.5,2050,10,0.00151,0.00148,-0.00153,0.00375,0.0006,0.00233
3,SSP5-8.5,2100,10,0.00123,0.00105,-7e-05,0.00269,0.00059,0.00181
3,Control-NoCC,2020,10,-1e-05,0.00135,-0.00253,0.00201,-0.00086,0.00074
3,Control-NoCC,2050,10,0.00056,0.00083,-0.00026,0.00194,8e-05,0.00109
3,Control-NoCC,2100,10,0.00037,0.00069,-0.00065,0.00135,-4e-05,0.00076
4,SSP2-4.5,2020,10,0.0,0.0,0.0,0.0,0.0,0.0
4,SSP2-4.5,2050,10,0.00033,0.00091,-0.00103,0.00175,-0.00019,0.00087
4,SSP2-4.5,2100,10,0.00029,0.00102,-0.00133,0.00205,-0.00032,0.00087
4,SSP5-8.5,2020,10,-0.00041,0.00077,-0.00174,0.00091,-0.00087,-0.0
4,SSP5-8.5,2050,10,0.00065,0.00104,-0.0006,0.00277,8e-05,0.00135
4,SSP5-8.5,2100,10,0.00086,0.00117,-0.00079,0.00281,0.00014,0.00156
4,Control-NoCC,2020,10,-0.00017,0.001,-0.00154,0.00173,-0.00074,0.00045
4,Control-NoCC,2050,10,-0.00036,0.00115,-0.00273,0.00155,-0.00108,0.00026
4,Control-NoCC,2100,10,-0.00025,0.00079,-0.00132,0.0012,-0.00071,0.00024
