Mw,R_km,n,mean_dmg_final,bca_ci_lo,bca_ci_hi
5.5,10.0,480,0.451071,0.447491,0.454737
5.5,25.0,480,0.150682,0.146771,0.15476
5.5,50.0,480,0.027748,0.026391,0.029271
5.5,100.0,480,0.001276,0.001126,0.00146
6.0,10.0,480,0.508146,0.504803,0.511536
6.0,25.0,480,0.215312,0.21054,0.219982
6.0,50.0,480,0.057291,0.054833,0.059928
6.0,100.0,480,0.004332,0.00394,0.004794
6.5,10.0,480,0.564235,0.561032,0.567652
6.5,25.0,480,0.292619,0.287457,0.297486
6.5,50.0,480,0.102113,0.09811,0.106146
6.5,100.0,480,0.014161,0.013128,0.015279
7.0,10.0,480,0.615511,0.612709,0.618313
7.0,25.0,480,0.37681,0.371645,0.381632
7.0,50.0,480,0.173233,0.168111,0.178583
7.0,100.0,480,0.036482,0.034313,0.039074
7.5,10.0,480,0.663761,0.661119,0.666261
7.5,25.0,480,0.464453,0.459752,0.468845
7.5,50.0,480,0.260649,0.255219,0.266785
7.5,100.0,480,0.080156,0.076286,0.084635
