archetype,asset_class,n,mean_dmg,std_dmg,p10,p90
deltaic,building,200,0.35289,0.02697,0.32115,0.39004
deltaic,water,200,0.63046,0.08889,0.5094,0.74173
deltaic,power,200,0.50808,0.09536,0.38913,0.6192
deltaic,transport,200,0.42723,0.10306,0.29549,0.55953
coastal,building,200,0.29018,0.02702,0.25471,0.32377
coastal,water,200,0.4658,0.11993,0.30687,0.61585
coastal,power,200,0.39535,0.08933,0.2791,0.5029
coastal,transport,200,0.37447,0.09781,0.2532,0.49571
lowland,building,200,0.27026,0.02521,0.24046,0.30621
lowland,water,200,0.44779,0.11679,0.31717,0.61746
lowland,power,200,0.37613,0.0938,0.2604,0.48791
lowland,transport,200,0.3551,0.09787,0.22627,0.48642
mixed,building,200,0.25502,0.02874,0.22101,0.29323
mixed,water,200,0.46678,0.10692,0.31066,0.59732
mixed,power,200,0.31606,0.09014,0.20363,0.43878
mixed,transport,200,0.2481,0.08965,0.13011,0.36748
inland,building,200,0.2317,0.02508,0.19654,0.2614
inland,water,200,0.41283,0.08215,0.30554,0.51952
inland,power,200,0.30235,0.09556,0.18053,0.43928
inland,transport,200,0.2774,0.08176,0.17291,0.38865
arid,building,200,0.19786,0.02405,0.16646,0.23043
arid,water,200,0.3788,0.09872,0.23845,0.50517
arid,power,200,0.24635,0.08867,0.13167,0.35635
arid,transport,200,0.20906,0.08517,0.09971,0.32958
cold,building,200,0.25047,0.02844,0.21254,0.28857
cold,water,200,0.42308,0.09132,0.29426,0.54445
cold,power,200,0.34388,0.08648,0.22849,0.45366
cold,transport,200,0.25389,0.08572,0.13649,0.37234
high_alt,building,200,0.24058,0.02753,0.20394,0.27245
high_alt,water,200,0.43617,0.07918,0.34137,0.53844
high_alt,power,200,0.30687,0.09967,0.17366,0.43974
high_alt,transport,200,0.24344,0.08565,0.1342,0.3515
