archetype,ssp,diff,gen_partial_r,ks_dGW_p,ks_dGW_stat,ks_damage_p,ks_damage_stat,ks_p_liq_p,ks_p_liq_stat,ks_soil_moist_p,ks_soil_moist_stat,real_partial_r
deltaic,SSP2-4.5,0.3002,0.2197,0.056491,0.38,0.061999,0.375,0.09385,0.3517,0.025554,0.42,-0.0805
deltaic,SSP5-8.5,0.2375,-0.0277,0.000522,0.5717,0.000404,0.58,0.003048,0.51,0.046713,0.39,-0.2652
deltaic,Control-NoCC,-0.0211,0.0963,0.876067,0.1633,0.542914,0.225,0.149433,0.3233,0.961006,0.1383,0.1174
coastal,SSP2-4.5,0.2402,-0.0531,0.321864,0.27,0.174394,0.3133,0.269059,0.2833,0.120778,0.3367,-0.2933
coastal,SSP5-8.5,-0.0673,-0.0169,0.608604,0.2133,0.030348,0.4117,0.000121,0.6167,0.571113,0.22,0.0504
coastal,Control-NoCC,-0.3477,-0.1409,0.321864,0.27,0.275572,0.2817,0.006544,0.48,0.515249,0.23,0.2068
lowland,SSP2-4.5,-0.1947,-0.0704,0.646722,0.2067,0.245893,0.29,0.134841,0.33,0.971541,0.1333,0.1243
lowland,SSP5-8.5,-0.5601,-0.0667,0.096765,0.35,0.127405,0.3333,0.088759,0.355,0.571113,0.22,0.4934
lowland,Control-NoCC,-0.0056,-0.0268,0.551647,0.2233,0.021376,0.4283,0.411815,0.25,0.444397,0.2433,-0.0212
mixed,SSP2-4.5,0.1205,0.0752,0.599715,0.215,0.131018,0.3317,7.2e-05,0.6317,0.928771,0.15,-0.0453
mixed,SSP5-8.5,-0.1769,-0.0793,0.207815,0.3017,0.532999,0.2267,0.183946,0.31,0.496634,0.2333,0.0976
mixed,Control-NoCC,-0.23,-0.0022,0.37222,0.2583,0.637468,0.2083,0.002119,0.5233,0.704147,0.1967,0.2279
inland,SSP2-4.5,-0.1094,-0.0012,0.019929,0.4317,0.778623,0.1833,0.138068,0.3283,0.120778,0.3367,0.1082
inland,SSP5-8.5,0.2756,-0.0447,0.496634,0.2333,0.051405,0.385,0.034769,0.405,0.860886,0.1667,-0.3203
inland,Control-NoCC,-0.0471,0.0724,0.822515,0.175,0.714994,0.195,0.008644,0.4683,0.488227,0.235,0.1195
arid,SSP2-4.5,0.1405,-0.1114,0.829862,0.1733,0.006004,0.4833,0.00018,0.605,0.532999,0.2267,-0.2519
arid,SSP5-8.5,0.0943,-0.0531,0.207815,0.3017,0.030348,0.4117,0.000551,0.57,0.120778,0.3367,-0.1474
arid,Control-NoCC,0.5901,0.1338,0.217847,0.2983,0.005544,0.4867,0.022995,0.425,0.732374,0.1917,-0.4563
cold,SSP2-4.5,-0.1828,-0.167,0.000551,0.57,0.628575,0.21,0.666373,0.2033,0.005785,0.485,0.0158
cold,SSP5-8.5,-0.8833,-0.1126,0.011397,0.4567,0.778623,0.1833,0.770546,0.185,0.007094,0.4767,0.7707
cold,Control-NoCC,0.5311,0.1447,0.46194,0.24,0.646722,0.2067,0.149433,0.3233,0.617903,0.2117,-0.3864
high_alt,SSP2-4.5,0.1075,-0.014,0.488227,0.235,0.072051,0.3667,0.141938,0.3267,0.714994,0.195,-0.1215
high_alt,SSP5-8.5,-0.0235,-0.0685,0.157896,0.32,0.314788,0.2717,0.010936,0.4583,0.213217,0.3,-0.0449
high_alt,Control-NoCC,-0.0588,-0.0447,0.922285,0.1517,0.174394,0.3133,0.134841,0.33,0.257306,0.2867,0.0141
POOLED,ALL,-0.0582,-0.0297,0.29783,0.0585,0.244947,0.0615,0.003207,0.1081,0.309851,0.0579,0.0285
