city,ssp,n_epochs,linear_slope,linear_intercept,linear_R2,quadratic_a2,quadratic_a1,quadratic_a0,quadratic_R2,acceleration,decade_rate_2020_2050,decade_rate_2050_2100,rate_ratio_late_over_early,quadratic_improves_R2_by
Bangkok,Control-NoCC,8,0.000456,-0.000167,0.021,-3.8e-05,0.000799,-0.00074,0.0216,-7.6e-05,0.00068,0.0003,0.443,0.0006
Bangkok,SSP1-2.6,8,-0.00047,0.012056,0.1001,0.000595,-0.005821,0.020974,0.7412,0.001189,-0.00404,0.00191,0.473,0.6411
Bangkok,SSP2-4.5,8,-0.000955,0.019158,0.2801,0.000168,-0.002465,0.021675,0.3147,0.000336,-0.00196,-0.00028,-0.145,0.0346
Bangkok,SSP5-8.5,8,0.00083,-0.011844,0.1778,-1.4e-05,0.000953,-0.012049,0.178,-2.7e-05,0.00091,0.00078,0.85,0.0002
Christchurch,Control-NoCC,8,-0.000381,0.001156,0.0238,-0.000574,0.004788,-0.007459,0.2403,-0.001149,0.00307,-0.00268,-0.874,0.2165
Christchurch,SSP1-2.6,8,0.000309,0.003733,0.0365,0.000684,-0.005848,0.013994,0.7519,0.001368,-0.0038,0.00305,0.802,0.7155
Christchurch,SSP2-4.5,8,-0.000247,0.014933,0.0075,-3.4e-05,5.9e-05,0.014423,0.0081,-6.8e-05,-4e-05,-0.00038,-8.975,0.0006
Christchurch,SSP5-8.5,8,0.001644,-0.000308,0.3255,-0.000558,0.00667,-0.008683,0.4756,-0.001117,0.00499,-0.00059,-0.118,0.1502
Dhaka,Control-NoCC,8,0.000159,-5.1e-05,0.0028,0.000137,-0.001075,0.002005,0.0113,0.000274,-0.00066,0.00071,1.066,0.0084
Dhaka,SSP1-2.6,8,0.000704,0.005866,0.3278,0.000221,-0.001281,0.009175,0.4565,0.000441,-0.00062,0.00159,2.562,0.1286
Dhaka,SSP2-4.5,8,0.000112,0.015437,0.0038,0.00011,-0.000878,0.017087,0.0181,0.00022,-0.00055,0.00055,1.009,0.0144
Dhaka,SSP5-8.5,8,0.002939,-0.009399,0.6934,-0.000255,0.00523,-0.013218,0.7142,-0.000509,0.00447,0.00192,0.43,0.0208
Guangzhou,Control-NoCC,8,0.000783,-0.002822,0.0778,-0.000305,0.00353,-0.0074,0.1252,-0.00061,0.00261,-0.00044,-0.168,0.0473
Guangzhou,SSP1-2.6,8,0.000581,0.003656,0.1479,0.000364,-0.002691,0.009109,0.3795,0.000727,-0.0016,0.00204,1.272,0.2317
Guangzhou,SSP2-4.5,8,-0.000931,0.017062,0.1349,0.000226,-0.00297,0.020459,0.1669,0.000453,-0.00229,-3e-05,-0.011,0.0319
Guangzhou,SSP5-8.5,8,0.002704,-0.013364,0.6737,4.7e-05,0.002283,-0.012663,0.6745,9.3e-05,0.00242,0.00289,1.193,0.0008
HoChiMinh,Control-NoCC,8,0.000215,-0.000284,0.0077,-0.00028,0.002737,-0.004488,0.0598,-0.00056,0.0019,-0.00091,-0.478,0.0522
HoChiMinh,SSP1-2.6,8,0.000527,0.004661,0.169,0.000286,-0.002047,0.008951,0.368,0.000572,-0.00119,0.00167,1.405,0.1991
HoChiMinh,SSP2-4.5,8,0.000386,0.012343,0.0482,-4.4e-05,0.000778,0.01169,0.0506,-8.7e-05,0.00065,0.00021,0.327,0.0025
HoChiMinh,SSP5-8.5,8,0.003009,-0.006079,0.612,-0.000199,0.004797,-0.009058,0.6227,-0.000397,0.0042,0.00221,0.527,0.0107
Manila,Control-NoCC,8,0.00074,-0.01423,0.0287,-0.000716,0.007187,-0.024975,0.1363,-0.001433,0.00504,-0.00213,-0.422,0.1076
Manila,SSP1-2.6,8,-9.1e-05,0.000887,0.0038,0.000535,-0.00491,0.008919,0.534,0.001071,-0.0033,0.00205,0.621,0.5302
Manila,SSP2-4.5,8,-0.001305,0.022321,0.1903,0.000569,-0.006423,0.030852,0.3349,0.001137,-0.00472,0.00097,0.206,0.1446
Manila,SSP5-8.5,8,0.001152,-0.009187,0.2188,6.2e-05,0.000591,-0.008252,0.2213,0.000125,0.00078,0.0014,1.801,0.0026
NewOrleans,Control-NoCC,8,0.000884,0.001036,0.0815,-0.000335,0.003895,-0.003983,0.1283,-0.000669,0.00289,-0.00045,-0.157,0.0467
NewOrleans,SSP1-2.6,8,-0.000695,0.009887,0.0829,0.00052,-0.005374,0.017685,0.2683,0.00104,-0.00381,0.00138,0.363,0.1854
NewOrleans,SSP2-4.5,8,0.000258,0.016481,0.0096,-0.000237,0.00239,0.012928,0.0417,-0.000474,0.00168,-0.00069,-0.41,0.0322
NewOrleans,SSP5-8.5,8,0.003499,-0.009011,0.5834,-0.000412,0.007203,-0.015186,0.6157,-0.000823,0.00597,0.00185,0.31,0.0323
Shanghai,Control-NoCC,8,0.000558,-0.005666,0.0325,-0.000171,0.002094,-0.008226,0.0447,-0.000341,0.00158,-0.00012,-0.079,0.0122
Shanghai,SSP1-2.6,8,-0.000194,0.00268,0.0228,0.000581,-0.005428,0.011402,0.8392,0.001163,-0.00368,0.00213,0.579,0.8165
Shanghai,SSP2-4.5,8,-0.000102,0.01902,0.0047,0.000123,-0.001207,0.020861,0.0319,0.000245,-0.00084,0.00039,0.464,0.0272
Shanghai,SSP5-8.5,8,0.00258,-0.006485,0.7131,-0.000169,0.004101,-0.009019,0.7253,-0.000338,0.00359,0.0019,0.53,0.0122
Tianjin,Control-NoCC,8,0.000964,-0.012246,0.0762,-0.000421,0.004753,-0.01856,0.1343,-0.000842,0.00349,-0.00072,-0.206,0.0581
Tianjin,SSP1-2.6,8,0.001196,-0.00033,0.2897,0.000356,-0.00201,0.005014,0.3925,0.000713,-0.00094,0.00262,2.783,0.1028
Tianjin,SSP2-4.5,8,-0.000439,0.017306,0.0482,4.3e-05,-0.000828,0.017956,0.0501,8.7e-05,-0.0007,-0.00027,-0.381,0.0019
Tianjin,SSP5-8.5,8,0.001945,-0.00355,0.3238,-0.000494,0.006391,-0.010959,0.4072,-0.000988,0.00491,-3e-05,-0.006,0.0835
Wuhan,Control-NoCC,8,0.000977,-2.1e-05,0.0939,-0.00059,0.006285,-0.008867,0.2308,-0.00118,0.00452,-0.00138,-0.306,0.1368
Wuhan,SSP1-2.6,8,0.000263,-0.000684,0.0152,0.000621,-0.00533,0.008638,0.3541,0.001243,-0.00347,0.00275,0.793,0.3389
Wuhan,SSP2-4.5,8,-0.000667,0.016235,0.066,7.8e-05,-0.001367,0.017403,0.0696,0.000156,-0.00113,-0.00036,-0.313,0.0036
Wuhan,SSP5-8.5,8,0.000826,-0.004519,0.1148,0.000458,-0.003292,0.002344,0.2559,0.000915,-0.00192,0.00266,1.383,0.1411
