city,country,archetype,gw_base_m,mean_gap,ci_lo,ci_hi
NewOrleans,USA,deltaic,2.0,0.03821,0.02174,0.05566
Christchurch,NewZealand,deltaic,1.5,0.0299,0.01134,0.04793
Guangzhou,China,deltaic,2.5,0.02955,0.01113,0.04834
Hanoi,Vietnam,deltaic,2.0,0.0282,0.01046,0.04745
Yangon,Myanmar,deltaic,2.0,0.02503,0.00996,0.04054
Singapore,Singapore,coastal,3.0,0.02453,0.00235,0.0481
Tianjin,China,deltaic,2.5,0.02358,0.00541,0.04035
Miami,USA,coastal,1.5,0.02171,0.00617,0.03756
HoChiMinh,Vietnam,deltaic,2.0,0.02099,0.00336,0.03936
Honolulu,USA,coastal,3.0,0.02093,0.0006,0.04226
Amsterdam,Netherlands,deltaic,1.0,0.02089,0.00485,0.03762
Dhaka,Bangladesh,deltaic,1.5,0.02001,0.00142,0.03751
Shanghai,China,deltaic,2.5,0.01765,0.00241,0.03395
Rotterdam,Netherlands,deltaic,1.0,0.01618,0.00035,0.033
